Lab.ID,Compound.name,mz,RT,CAS.ID,HMDB.ID,KEGG.ID,Formula,mz.pos,mz.neg,Submitter,INCHIKEY,SMILE,Source,date,synonyms,Species_all,superclass,class,subclass,parent_levels,description
C00000175,Ethylene,28.03130013,NA,74-85-1,,,C2H4,NA,NA,Xiao Wang,VGGSQFUCUMXWEO-UHFFFAOYSA-N,C=C,KNApSack,"Jun26,2023",Ethylene,Mangifera indica|Beta vulgaris|Arabidopsis thaliana|Malus pumila|Prunus avium|Citrus sinensis|Capsicum annuum,Hydrocarbons,Unsaturated hydrocarbons,Unsaturated aliphatic hydrocarbons,NA,This compound belongs to the class of organic compounds known as unsaturated aliphatic hydrocarbons. These are aliphatic Hydrocarbons that contains one or more unsaturated carbon atoms. These compounds contain one or more double or triple bonds.
C00050483,Methanamine,31.04219917,NA,74-89-5,,,CH5N,NA,NA,Xiao Wang,BAVYZALUXZFZLV-UHFFFAOYSA-N,,KNApSack,"Jun26,2023",Methanamine|Methylamine,Homo sapiens (Urine)|Penaeus orientalis|Claviceps purpurea|Orthosiphon stamineus|Chelidonium majus|Solanum lycopersicum|FOOD SAKE,Organic nitrogen compounds,Organonitrogen compounds,Amines,Primary amines | Monoalkylamines,This compound belongs to the class of organic compounds known as monoalkylamines. These are organic compounds containing an primary aliphatic amine group.
C00053330,Hydroxylamine,33.02146373,NA,7803-49-8,,,H3NO,NA,NA,Xiao Wang,AVXURJPOCDRRFD-UHFFFAOYSA-N,NO,KNApSack,"Jun26,2023",Hydroxylamine,Arabidopsis thaliana|Triticum aestivum|Solanum lycopersicum,Homogeneous non-metal compounds,Homogeneous other non-metal compounds,NA,NA,This compound belongs to the class of inorganic compounds known as homogeneous other non-metal compounds. These are inorganic non-metallic compounds in which the largest atom belongs to the class of 'other non-metals'.
C00007392,Acetaldehyde,44.02621475,NA,75-07-0,,,C2H4O,NA,NA,Xiao Wang,IKHGUXGNUITLKF-UHFFFAOYSA-N,C(=O)C,KNApSack,"Jun26,2023",Acetaldehyde|Acetic aldehyde,Homo sapiens (Urine)|Escherichia coli KO11|Staphylococcus aureus|Mangifera indica|Garcinia dulcis|Brassica napus|Durio zibethinus|Olea europaea|Picea abies|Coffea arabica|Caffea sp.|Campylobacter jejuni|Clostridium difficile|FOOD SAKE,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Aldehydes | Short-chain aldehydes,This compound belongs to the class of organic compounds known as short-chain aldehydes. These are an aldehyde with a chain length containing between 2 and 5 carbon atoms.
C00019560,Ethanol,46.04186481,NA,64-17-5,,,C2H6O,NA,NA,Xiao Wang,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO,KNApSack,"Jun26,2023",Ethanol,Homo sapiens (Serum)|Homo sapiens (Urine)|Escherichia coli KO11|Mangifera indica|Apium graveolens|Humulus lupulus|Carica papaya|Garcinia dulcis|Litsea cubeba|Citrus aurantifolia|Citrus aurantium|Citrus grandis|Citrus hystrix|Citrus limon|Citrus paradisi|Citrus reticulata|Citrus sinensis|Capsicum annuum|FOOD SAKE,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,NA,"This compound belongs to the class of organic compounds known as primary alcohols. These are compounds comprising the primary alcohol functional group, with the general structure RCOH (R=alkyl, aryl)."
C00001258,Methyl mercaptan,48.00337086,NA,74-93-1,,,CH4S,NA,NA,Xiao Wang,LSDPWZHWYPCBBB-UHFFFAOYSA-N,CS,KNApSack,"Jun26,2023",Methyl mercaptan|Methanethiol,Raphanus sativus|Pelargonium graveolens|Durio zibethinus|Solanum tuberosum|FOOD SAKE,Organosulfur compounds,Thiols,Alkylthiols,NA,This compound belongs to the class of organic compounds known as alkylthiols. These are organic compounds containing the thiol functional group linked to an alkyl chain.
C00048304,Acetone,58.04186481,NA,67-64-1,,,C3H6O,NA,NA,Xiao Wang,CSCPPACGZOOCGX-UHFFFAOYSA-N,C(=O)(C)C,KNApSack,"Jun26,2023",Acetone,Homo sapiens (Exhaled breath)|Escherichia coli|Humulus lupulus|Carica papaya|Olea europaea|Picea abies|Citrus aurantifolia|Citrus aurantium|Citrus grandis|Citrus hystrix|Citrus limon|Citrus paradisi|Citrus reticulata|Citrus sinensis|Campylobacter jejuni|Clostridium difficile|FOOD SAKE,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,"This compound belongs to the class of organic compounds known as ketones. These are organic compounds  in which a carbonyl group is bonded to two carbon atoms R2C=O (neither R may be a hydrogen atom). Ketones that have one or more alpha-hydrogen atoms undergo keto-enol tautomerization, the tautomer being an enol."
C00058114,Sulfocyanic acid,58.98296977,NA,463-56-9,,,CHNS,NA,NA,Xiao Wang,ZMZDMBWJUHKJPS-UHFFFAOYSA-N,N#CS,KNApSack,"Jun26,2023",Sulfocyanic acid,Brassica spp.,Organosulfur compounds,Thiocyanates,NA,NA,"This compound belongs to the class of organic compounds known as thiocyanates. These are salts or esters of thiocyanic acid, with the general formula RSC#N (R=alkyl, aryl)."
C00007314,Urea,60.03236276,NA,57-13-6,,,CH4N2O,NA,NA,Xiao Wang,XSQUKJJJFZCRTK-UHFFFAOYSA-N,NC(=O)N,KNApSack,"Jun26,2023",Urea,Bos taurus domesticus|Homo sapiens|Phoma medicaginis|Annona squamosa|Arabidopsis thaliana|Benincasa hispida|Phaseolus vulgaris|Vicia faba|Castanea mollissima|Orthosiphon stamineus|Punica granatum|Averrhoa carambola|Solanum lycopersicum|Lasiosphaera fenzlii|Trogopterus xanthipes|Vespertilio superans,Organic acids and derivatives,Organic carbonic acids and derivatives,Ureas,NA,This compound belongs to the class of organic compounds known as ureas. These are compounds containing two amine groups joined by a carbonyl (C=O) functional group.
C00048438,Isopropyl alcohol,60.05751488,NA,67-63-0,,,C3H8O,NA,NA,Xiao Wang,KFZMGEQAYNKOFK-UHFFFAOYSA-N,CC(O)C,KNApSack,"Jun26,2023",Isopropyl alcohol|Isopropanol,Homo sapiens (Serum)|Asparagus officinalis|Carica papaya|Citrus aurantifolia|Citrus aurantium|Citrus grandis|Citrus hystrix|Citrus limon|Citrus sinensis,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,NA,"This compound belongs to the class of organic compounds known as secondary alcohols. These are compounds containing a secondary alcohol functional group, with the general structure HOC(R)(R') (R,R'=alkyl, aryl)."
