Compounds	Chemical Formula	InChI-Key	Pathways of compound	SMILES	Object ID	Synonyms	Molecular-Weight
(+)-5-deoxystrigol	C19H22O5	InChIKey=QXTUQXRFEBHUBA-DYLOANJQSA-N	5-deoxystrigol biosynthesis	CC1(\C(=O)O[C@H](\C=1)O/C=C2([C@@H]3([C@H](OC(=O)2)C4([C@@](C)(C)CCCC(C3)=4))))	CPD-14652		330.38
(+)-7-<i>epi</i>-12-hydroxy-12-oxojasmonoyl-L-isoleucine	C18H25NO6	InChIKey=JGWHHQHWBOQVJU-SIEWLTCVSA-L	jasmonoyl-L-isoleucine inactivation	CC[C@H](C)[C@H](NC(=O)C[C@H]1(CCC(=O)[C@@H](C\C=C/CC([O-])=O)1))C([O-])=O	CPD-19812	(3R, 7S)-12COOH-JA-Ile // (3R, 7S)-12-hydroxy-12-oxojasmonoyl-isoleucine // (3R, 7S)-12-hydroxy-12-oxojasmonoyl-L-isoleucine // (+)-7-iso-12-hydroxy-12-oxojasmonoyl-L-isoleucine	351.399
(+)-7-<i>epi</i>-12-hydroxyjasmonoyl-L-isoleucine	C18H28NO5	InChIKey=TXHIPUZLOILIIU-RAJZRIHCSA-M	jasmonoyl-L-isoleucine inactivation	CC[C@H](C)[C@H](NC(=O)C[C@H]1(CCC(=O)[C@@H](C\C=C/CCO)1))C([O-])=O	CPD-13420	(3R, 7S)-12-hydroxyjasmonoyl-isoleucine // (3R, 7S)-12-OH-JA-Ile // (3R,7S)-12-OH-JA-Ile // (3R,7S)-12-hydroxyjasmonoyl-isoleucine // (3R,7S)-12-hydroxyjasmonoyl-L-isoleucine // (+)-7-iso-12-hydroxyjasmonoyl-L-isoleucine	338.423
(+)-7-<i>epi</i>-12-hydroxyjasmonoyl-L-phenylalanine	C21H26NO5	InChIKey=VDKUVTCFUXVZCC-QLAVEODCSA-M		C(O)C\C=C/C[C@@H]1(C(=O)CC[C@@H]1CC(N[C@@H](CC2(\C=C/C=C\C=2))C([O-])=O)=O)	CPD-19818	(+)-7-iso-12OH-JA-Phe // (+)-7-iso-12-hydroxyjasmonoyl-L-phenylalanine	372.44
(+)-7-<i>epi</i>-12-oxojasmonoyl-L-isoleucine	C18H26NO5	InChIKey=BLZRWMJJRGXFHK-RAJZRIHCSA-M	jasmonoyl-L-isoleucine inactivation	CC[C@H](C)[C@H](NC(=O)C[C@H]1(CCC(=O)[C@@H](C\C=C/CC=O)1))C([O-])=O	CPD-19811	(3R, 7S)-12CHO-JA-Ile // (3R, 7S)-12-oxojasmonoyl-isoleucine // (3R, 7S)-12-oxojasmonoyl-L-isoleucine // (+)-7-iso-12-oxojasmonoyl-L-isoleucine	336.407
(+)-7-<i>epi</i>-jasmonate	C12H17O3	InChIKey=ZNJFBWYDHIGLCU-QKMQQOOLSA-M	jasmonoyl-amino acid conjugates biosynthesis II // jasmonoyl-amino acid conjugates biosynthesis I // superpathway of jasmonoyl-amino acid conjugates biosynthesis // jasmonic acid biosynthesis	CC\C=C/C[C@@H]1(C(=O)CC[C@@H]1CC([O-])=O)	CPD-731	(+)-7-iso-jasmonic acid // iso-jasmonic acid // (3R,7S)-(+)-7-iso-jasmonate // (+)-7-iso-jasmonate	209.264
(+)-7-<i>epi</i>-jasmonoyl-CoA	C33H48N7O18P3S	InChIKey=WQKKCPPNDKSAIU-CBGYDUJUSA-J	jasmonic acid biosynthesis	CC\C=C/C[C@@H]1(C(=O)CC[C@@H]1CC(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]2([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O2)N3(C4(\N=C/N=C(C(\N=C/3)=4)/N))))[O-])[O-])=O)	CPD-11529	(+)-7-iso-jasmonoyl-CoA	955.76
(+)-7-<i>epi</i>-jasmonoyl-L-isoleucine	C18H28NO4	InChIKey=IBZYPBGPOGJMBF-QPERPISQSA-M	jasmonoyl-amino acid conjugates biosynthesis II // jasmonoyl-amino acid conjugates biosynthesis I // superpathway of jasmonoyl-amino acid conjugates biosynthesis // jasmonoyl-L-isoleucine inactivation	CC\C=C/C[C@@H]1(C(=O)CC[C@@H]1CC(N[C@@H]([C@@H](C)CC)C([O-])=O)=O)	CPD-11259	(+)-7-iso-JA-L-Ile // (+)-7-iso-jasmonate-L-isoleucine // (+)-7-iso-jasmonic acid-L-isoleucine // (+)-7-iso-jasmonic acid-L-isoleucine conjugate // (+)-7-iso-jasmonyl-L-isoleucine // N-[(3R,7S)-(+)-7-iso-Jasmonoyl]-(S)-isoleucine // (3R,7S)-JA-L-Ile // (+)-7-iso-jasmonoyl-L-isoleucine	322.423
(+)-7-<i>epi</i>-jasmonoyl-L-phenylalanine	C21H26NO4	InChIKey=BYYWRCJZFSTRMQ-JNPKKTEJSA-M	jasmonoyl-amino acid conjugates biosynthesis I // superpathway of jasmonoyl-amino acid conjugates biosynthesis	CC\C=C/C[C@@H]1(C(=O)CC[C@@H]1CC(N[C@@H](CC2(\C=C/C=C\C=2))C([O-])=O)=O)	CPD-19817	(+)-7-iso-phenylalanine L-jasmonate conjugate // (+)-7-iso-JA-L-Phe // (+)-7-iso-jasmonate-L-phenylalanine // (+)-7-iso-jasmonic acid L-phenylalanine // (+)-7-iso-jasmonic acid L-phenylalanine conjugate // (+)-7-iso-jasmonyl-L-phenylalanine // (+)-7-iso-jasmonoyl-L-phenylalanine	356.441
(+)-&alpha;-barbatene	C15H24	InChIKey=RMKQBFUAKZOVPQ-APIJFGDWSA-N		CC1(\[C@H]3(C[C@@](C)(C\C=1)[C@]2(C)([C@@](C)(CCC2)3)))	CPD-8235		204.355
(+)-&alpha;-thujene	C10H16	InChIKey=KQAZVFVOEIRWHN-UWVGGRQHSA-N		CC(C)[C@]12([C@@H](C1)C(/C)=C/C2)	CPD-4894	(1S,5R)-2-methyl-5-(propan-2-yl)bicyclo[3.1.0]hex-2-ene // (+)-(1S)-alpha-thujene	136.236
(+)-&beta;-barbatene	C15H24	InChIKey=RTONMYLSQISFQA-APIJFGDWSA-N		C=C1(CC[C@]3(C)(C[C@@H]1[C@@]2(C)([C@](C)(CCC2)3)))	CPD-8238		204.355
(+)-&beta;-chamigrene	C15H24	InChIKey=WLNGPDPILFYWKF-HNNXBMFYSA-N		CC2(\CC[C@]1(C(CCCC1(C)C)=C)(C\C=2))	CPD-8241		204.355
(+)-camphene	C10H16	InChIKey=CRPUJAZIXJMDBK-DTWKUNHWSA-N	monoterpene biosynthesis	C=C1(C(C)(C)[C@H]2(C[C@H]1CC2))	CPD-8767	(1R,4S)-camphene	136.236
(+)-<i>cis</i>-abscisic aldehyde	C15H20O3	InChIKey=RIKWDZWVHUIUAM-KICRZJJPSA-N	abscisic acid biosynthesis	CC(\C=C\[C@@]1(C(C)(C)CC(=O)\C=C(C)/1)O)=C\C=O	CPD-692	(+)-cis-ABA aldehyde // (+)-cis-abscisic acid aldehyde	248.321
(+)-dihydrokaempferol	C15H12O6	InChIKey=PADQINQHPQKXNL-LSDHHAIUSA-N	flavonoid biosynthesis // leucopelargonidin and leucocyanidin biosynthesis // syringetin biosynthesis // leucodelphinidin biosynthesis // flavonol biosynthesis // superpathway of flavones and derivatives biosynthesis // flavonoid biosynthesis (in equisetum)	C3(/C=C(\C=C/C(/[C@H]1(OC2(\C(\C([C@@H]1O)=O)=C(/C=C(/C=2)/O)\O)))=3)/O)	DIHYDROKAEMPFEROL-CMPD	(+)-aromadendrin // (2R,3R)-dihydrokaempferol	288.256
(+)-dihydromyricetin	C15H11O8	InChIKey=KJXSIXMJHKAJOD-LSDHHAIUSA-M	leucodelphinidin biosynthesis // flavonol biosynthesis // syringetin biosynthesis // superpathway of flavones and derivatives biosynthesis	C3(/C(/[C@H]1(OC2(/C=C(/C=C(C(\C([C@@H]1O)=O)=2)/O)/[O-])))=C\C(\O)=C(C(/O)=3)\O)	CPD-7087	(+)-ampelopsin // ampelopsin	319.247
(+)-jasmonate	C12H17O3	InChIKey=ZNJFBWYDHIGLCU-CMIOBCHKSA-M	jasmonoyl-amino acid conjugates biosynthesis II // jasmonoyl-amino acid conjugates biosynthesis I // superpathway of jasmonoyl-amino acid conjugates biosynthesis	CC\C=C/C[C@@H]1(C(=O)CC[C@H]1CC([O-])=O)	CPD-5943	(3S,7S) (+)-jasmonate	209.264
(+)-lariciresinol	C20H24O6	InChIKey=MHXCIKYXNYCMHY-AUSJPIAWSA-N	matairesinol biosynthesis	COC3(\C(\O)=C/C=C(C[C@@H]2([C@H](CO)[C@@H](C1(\C=C/C(/O)=C(/C=1)/OC))OC2))\C=3)	CPD-8907		360.406
(+)-neomenthol	C10H20O	InChIKey=NOOLISFMXDJSKH-UTLUCORTSA-N	phosphate acquisition // glycerophosphodiester degradation	CC([C@@H]1(CC[C@H](C[C@@H]1O)C))C	CPD-1905		156.267
(+)-pinobanksin	C15H11O5	InChIKey=SUYJZKRQHBQNCA-LSDHHAIUSA-M		C3(\C=C/C(/[C@H]1(OC2(\C(\C([C@@H]1O)=O)=C(/C=C(/C=2)/[O-])\O)))=C\C=3)	CPD-6992	(2R,3R)-pinobanksin	271.249
(+)-pinoresinol	C20H22O6	InChIKey=HGXBRUKMWQGOIE-AFHBHXEDSA-N	matairesinol biosynthesis	COC1(/C=C(\C=C/C(/O)=1)/[C@H]3(OC[C@@H]4([C@@H](C2(\C=C/C(/O)=C(/C=2)/OC))OC[C@H]34)))	CPD-8905		358.39
(+)-secoisolariciresinol	C20H26O6	InChIKey=PUETUDUXMCLALY-HZPDHXFCSA-N	matairesinol biosynthesis	COC2(\C(\O)=C/C=C(C[C@@H]([C@H](CC1(\C=C/C(/O)=C(\C=1)/OC))CO)CO)\C=2)	CPD-8910	8S,8'S-secoisolariciresinol // SS-secoisolariciresinol	362.422
(+)-taxifolin	C15H11O7	InChIKey=CXQWRCVTCMQVQX-LSDHHAIUSA-M	leucopelargonidin and leucocyanidin biosynthesis // syringetin biosynthesis // leucodelphinidin biosynthesis // rutin biosynthesis // flavonol biosynthesis // superpathway of flavones and derivatives biosynthesis // flavonoid biosynthesis (in equisetum)	C3(/C=C(C(/O)=C\C(\[C@H]1(OC2(/C=C(/C=C(C(\C(=O)[C@H](O)1)=2)/O)/[O-])))=3)/O)	CPD-474	trans dihydroquercetin // (+)-dihydroquercetin // taxifolin	303.248
(+)-thujopsene	C15H24	InChIKey=WXQGPFZDVCRBME-BPLDGKMQSA-N		CC2(\[C@@H]3([C@@]1(C(CCC[C@@]1(C\C=2)C)(C)C)C3))	CPD-8236		204.355
(+)-<i>trans</i>-isoalliin	C6H11NO3S	InChIKey=OKYHUOHBRKWCQJ-FTJYXMLISA-N		C/C=C/S(=O)C[C@H]([NH3+])C([O-])=O	CPD-9307	PRENSCO // S-1-propenyl-L-cysteine sulfoxide	177.218
(+)-valencene	C15H24	InChIKey=QEBNYNLSCGVZOH-NFAWXSAZSA-N	valencene and 7-epi-&alpha;-selinene biosynthesis	C=C([C@H]1(C[C@]2([C@@H](CC\C=C(CC1)/2)C)C))C	CPD-7989		204.355
(-)-(4<i>S</i>)-&alpha;-terpineol	C10H18O	InChIKey=WUOACPNHFRMFPN-SECBINFHSA-N	phosphate acquisition // glycerophosphodiester degradation	CC1(\CC[C@@H](C\C=1)C(O)(C)C)	CPD-4887	(-)-alpha-terpineol // (-)-(4S)-alpha-terpineol	154.252
(-)-&alpha;-cuprenene	C15H24	InChIKey=DYQFFTPJVWEYMH-OAHLLOKOSA-N		CC2(\CCC(/[C@]1(C)(C(C)(C)CCC1))=C\C=2)	CPD-8243	1-methyl-4-[(1S)-1,2,2-trimethylcyclopentyl]cyclohexa-1,3-diene	204.355
(-)-&alpha;-pinene	C10H16	InChIKey=GRWFGVWFFZKLTI-IUCAKERBSA-N	monoterpene biosynthesis	CC1(\[C@@H]2(C[C@H](C\C=1)C2(C)C))	CPD-4892	(-)-(1S,5S)-alpha-pinene // (1S,5S)-2,6,6-trimethylbicyclo[3.1.1]hept-2-ene	136.236
(-)-&beta;-caryophyllene	C15H24	InChIKey=NPNUFJAVOOONJE-GFUGXAQUSA-N	&beta;-caryophyllene biosynthesis	CC1(/CC[C@H]2(C(C[C@H](C(CC/C=1)=C)2)(C)C))	CPD-8230	caryophyllene // L-caryophyllene // (E)-beta-caryophylene // 8-methylene-4,11,11-(trimethyl)bicyclo[7.2.0]undec-4-ene // trans-beta-caryophyllene // (E)-beta-caryophyllene	204.355
(-)-&beta;-elemene	C15H24	InChIKey=OPFTUNCRGUEPRZ-QLFBSQMISA-N	&beta;-caryophyllene biosynthesis	C=C[C@@]1(C)([C@H](C(C)=C)C[C@H](C(C)=C)CC1)	CPD-8232	elemene // 2,4-diisopropenyl-1-methyl-1-vinylcyclohexane // 1-ethenyl-1-methyl-2,4-bis(1-methylethenyl)-cyclohexane	204.355
(-)-&beta;-pinene	C10H16	InChIKey=WTARULDDTDQWMU-IUCAKERBSA-N	monoterpene biosynthesis	C=C1(CC[C@H]2(C[C@@H]1C2(C)C))	CPD-4891	(-)-(1S,5S)-beta-pinene // (1S,5S)-6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptane	136.236
(-)-cuparene	C15H22	InChIKey=SLKPBCXNFNIJSV-OAHLLOKOSA-N		CC2(\C=C/C(/[C@@]1(C)(CCCC1(C)C))=C\C=2)	CPD-8244		202.339
