"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"(-)-Camphanic acid","NA","NA","NA","NA","NA","0"
"(+)-Epicatechin","(+)-Epicatechin","HMDB0037954","182232","C09728","O[C@H]1CC2=C(O)C=C(O)C=C2O[C@H]1C1=CC(O)=C(O)C=C1","1"
"(10E,15Z)-9,12,13-trihydroxyoctadeca-10,15-dienoic acid","NA","NA","NA","NA","NA","0"
"(1R,3R,4S,5R)-1,3,4-trihydroxy-5-[(E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoyl]oxycyclohexane-1-carboxylic acid","NA","NA","NA","NA","NA","0"
"(1R,3R,4S,5R)-1,3,4-trihydroxy-5-[(E)-3-(4-hydroxyphenyl)prop-2-enoyl]oxycyclohexane-1-carboxylic acid","NA","NA","NA","NA","NA","0"
"(1r,3R,4s,5S)-4-{[(2E)-3-(3,4-Dihydroxyphenyl)-2-propenoyl]oxy}-1,3,5-trihydroxycyclohexanecarboxylic acid","NA","NA","NA","NA","NA","0"
"(1S,3R,4S,5R)-4-{[(2E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy}-1,3,5-trihydroxycyclohexane-1-carboxylic acid","NA","NA","NA","NA","NA","0"
"(2R,3R,4S,5S,6R)-2-[[7-hydroxy-1-(4-hydroxy-3-methoxyphenyl)-3-(hydroxymethyl)-6-methoxy-1,2,3,4-tetrahydronaphthalen-2-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol","NA","NA","NA","NA","NA","0"
"(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[4-(4-hydroxy-2,6,6-trimethylcyclohexen-1-yl)butan-2-yloxy]oxane-3,4,5-triol","NA","NA","NA","NA","NA","0"
"(2R,3S,4S,5R,6R)-2-[[(2R,3R,4R,5S)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-6-[(2E)-3,7-dimethylocta-2,6-dienoxy]oxane-3,4,5-triol","NA","NA","NA","NA","NA","0"
"(2R,3S,4S,5R,6S)-2-(hydroxymethyl)-6-[4-(hydroxymethyl)-1-propan-2-ylcyclohex-3-en-1-yl]oxyoxane-3,4,5-triol","NA","NA","NA","NA","NA","0"
"(2S,3R,4S,5R)-2-[(2R,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-2-(2-phenylethoxy)oxan-3-yl]oxyoxane-3,4,5-triol","NA","NA","NA","NA","NA","0"
"(2S,3R,4S,5S,6R)-2-[3-hydroxy-5-[(Z)-2-(4-hydroxyphenyl)ethenyl]phenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol","NA","NA","NA","NA","NA","0"
"(2S,3S,4S,5R,6R)-6-(3-benzoyloxy-2-hydroxypropoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid","NA","NA","NA","NA","NA","0"
"(3aS,5R,5aS,8aS,9aR)-5,8a-dimethyl-1-methylidene-3a,4,5,5a,6,7,9,9a-octahydroazuleno[6,7-b]furan-2,8-dione","NA","NA","NA","NA","NA","0"
"(4S,5Z,6S)-4-(2-methoxy-2-oxoethyl)-5-[2-[(E)-3-phenylprop-2-enoyl]oxyethylidene]-6-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4H-pyran-3-carboxylic acid","NA","NA","NA","NA","NA","0"
"(9Z,12E)-15,16-dihydroxyoctadeca-9,12-dienoic acid","NA","NA","NA","NA","NA","0"
"(E)-3-[4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]prop-2-enoic acid","NA","NA","NA","NA","NA","0"
"(Z)-5,8,11-trihydroxyoctadec-9-enoic acid","NA","NA","NA","NA","NA","0"
"[(2R,3S,4S,5R,6R)-6-[(2S,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methyl 4-hydroxybenzoate","NA","NA","NA","NA","NA","0"
"[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] (2E,6E)-8-hydroxy-2,6-dimethylocta-2,6-dienoate","NA","NA","NA","NA","NA","0"
"[(4E)-7-acetyloxy-6-hydroxy-2-methyl-10-oxo-2,3,6,7,8,9-hexahydrooxecin-3-yl] (E)-but-2-enoate","NA","NA","NA","NA","NA","0"
"[3,4,5-trihydroxy-6-(3,4,5-trihydroxybenzoyl)oxyoxan-2-yl]methyl 3,4,5-trihydroxybenzoate","NA","NA","NA","NA","NA","0"
"[3,4,5-trihydroxy-6-[[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl] 2,6,6-trimethylcyclohexene-1-carboxylate","NA","NA","NA","NA","NA","0"
"1-(4-hydroxyphenyl)-3-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropan-1-one","NA","NA","NA","NA","NA","0"
"1-[3-methoxy-4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxyphenyl]ethanone","NA","NA","NA","NA","NA","0"
"1,2-dihydroxyheptadec-16-en-4-yl acetate","NA","NA","NA","NA","NA","0"
