"","Total","Expected","Hits","Raw p","-log(p)","Holm adjust","FDR","Impact"
"osa00950",6,4.2252,4,0.7524,0.28449,1,1,0.99999
"osa00965",3,2.1126,2,0.78946,0.23641,1,1,1
"osa00261",8,5.6336,5,0.81405,0.20573,1,1,0
"osa00350",18,12.676,11,0.86971,0.1396,1,1,0.79731
"osa00944",12,8.4505,7,0.88966,0.11692,1,1,0
"osa00660",6,4.2252,3,0.93324,0.069097,1,1,0.5
"osa00300",9,6.3378,4,0.9768,0.023473,1,1,0.45945
"osa00250",22,15.493,11,0.98812,0.011951,1,1,0.86691
"osa00998",6,4.2252,2,0.98991,0.010144,1,1,0
"osa00430",6,4.2252,2,0.98991,0.010144,1,1,0.5
"osa00072",4,2.8168,1,0.99242,0.0076063,1,1,0
"osa00591",4,2.8168,1,0.99242,0.0076063,1,1,0
"osa00290",22,15.493,10,0.99647,0.0035323,1,1,0.38974
"osa00760",13,9.1547,5,0.99652,0.0034834,1,1,0.50303
"osa00650",17,11.971,7,0.9973,0.0027038,1,1,0.13636
"osa00440",5,3.521,1,0.99777,0.0022286,1,1,0
"osa00999",5,3.521,1,0.99777,0.0022286,1,1,1
"osa00910",12,8.4505,4,0.99855,0.0014462,1,1,0.05882
"osa00360",12,8.4505,4,0.99855,0.0014462,1,1,0.42308
"osa00220",18,12.676,7,0.99884,0.0011604,1,1,0.25632
"osa00960",8,5.6336,2,0.99886,0.0011387,1,1,0
"osa00902",6,4.2252,1,0.99935,0.00065308,1,1,0
"osa00942",6,4.2252,1,0.99935,0.00065308,1,1,0
"osa00945",11,7.7463,3,0.99951,0.0004887,1,1,0.11458
"osa00740",11,7.7463,3,0.99951,0.0004887,1,1,0.18519
"osa00073",14,9.8589,4,0.9998,0.00019906,1,1,0.5
"osa00020",20,14.084,7,0.9998,0.00019897,1,1,0.2558
"osa00232",10,7.0421,2,0.99988,0.00012027,1,1,0
"osa00920",15,10.563,4,0.99993,7.1774e-05,1,1,0.3232
"osa00909",8,5.6336,1,0.99994,5.5865e-05,1,1,0
"osa00670",8,5.6336,1,0.99994,5.5865e-05,1,1,0.21429
"osa00750",11,7.7463,2,0.99996,3.8415e-05,1,1,0.03205
"osa00400",22,15.493,7,0.99997,3.1457e-05,1,1,0.15816
"osa00053",18,12.676,5,0.99997,2.932e-05,1,1,0.14179
"osa00770",23,16.197,7,0.99999,1.2187e-05,1,1,0.15767
"osa00630",29,20.422,10,0.99999,1.0916e-05,1,1,0.69895
"osa00340",17,11.971,4,0.99999,8.9082e-06,1,1,0.27132
"osa00640",20,14.084,5,1,3.8317e-06,1,1,0.19552
"osa00410",18,12.676,4,1,3.0763e-06,1,1,0.06349
"osa00620",22,15.493,5,1,4.755e-07,1,1,0.39501
"osa00590",12,8.4505,1,1,4.0055e-07,1,1,0
"osa00260",33,23.239,10,1,2.75e-07,1,1,0.25138
"osa00941",47,33.098,17,1,1.6612e-07,1,1,0.44754
"osa00450",13,9.1547,1,1,1.1605e-07,1,1,0.2437
"osa00730",22,15.493,4,1,3.9326e-08,1,1,0.27168
"osa00480",27,19.014,6,1,2.5398e-08,1,1,0.21235
"osa00062",23,16.197,4,1,1.2929e-08,1,1,0
"osa00380",23,16.197,4,1,1.2929e-08,1,1,0.24138
"osa00330",28,19.718,6,1,8.7957e-09,1,1,0.24846
"osa00710",21,14.788,3,1,7.363e-09,1,1,0.09453
"osa00460",26,18.309,5,1,6.4619e-09,1,1,0
"osa00940",35,24.647,9,1,5.2367e-09,1,1,0.13069
"osa00030",19,13.38,2,1,3.1924e-09,1,1,0
"osa01040",22,15.493,3,1,2.3161e-09,1,1,0
"osa00970",46,32.393,14,1,2.2979e-09,1,1,0
"osa00051",20,14.084,2,1,9.629e-10,1,1,0.10623
"osa00600",17,11.971,1,1,8.0326e-10,1,1,0.01442
"osa00040",17,11.971,1,1,8.0326e-10,1,1,0.09524
"osa00908",21,14.788,2,1,2.8921e-10,1,1,0
"osa00240",38,26.76,9,1,2.438e-10,1,1,0.27354
"osa00310",18,12.676,1,1,2.3066e-10,1,1,0
"osa00780",18,12.676,1,1,2.3066e-10,1,1,0.09231
"osa00592",27,19.014,4,1,1.404e-10,1,1,0
"osa00790",27,19.014,4,1,1.404e-10,1,1,0.16457
"osa00280",37,26.056,8,1,7.0492e-11,1,1,0.07653
"osa00071",37,26.056,8,1,7.0492e-11,1,1,0.16126
"osa00270",46,32.393,12,1,4.4412e-11,1,1,0.50379
"osa00905",20,14.084,1,1,1.8918e-11,1,1,0.03704
"osa00561",21,14.788,1,1,5.4032e-12,1,1,0.04
"osa00130",35,24.647,6,1,4.1915e-12,1,1,0.2137
"osa00500",22,15.493,1,1,1.5404e-12,1,1,0.00967
"osa00010",26,18.309,2,1,6.6813e-13,1,1,0.12074
"osa00900",29,20.422,3,1,6.0751e-13,1,1,0.15013
"osa00562",28,19.718,2,1,5.751e-14,1,1,0
"osa00564",37,26.056,4,1,1.1102e-15,1,1,0.10825
"osa00100",40,28.168,1,1,0,1,1,0
"osa00510",35,24.647,1,1,0,1,1,0
"osa00906",42,29.577,2,1,0,1,1,0.00283
"osa00061",56,39.435,5,1,0,1,1,0.01123
"osa00230",63,44.365,11,1,0,1,1,0.06608
"osa00520",50,35.21,7,1,0,1,1,0.10678
"osa00860",47,33.098,5,1,0,1,1,0.16548
